snapped_at,price,market_cap,total_volume
2019-05-31 00:00:00 UTC,0.03436156134367205,7645716.504868825,10816189.437907446
2019-06-01 00:00:00 UTC,0.04132892058385179,9291902.561842263,17641329.48939932
2019-06-02 00:00:00 UTC,0.04052576701036436,8957524.477716226,14573589.480006017
2019-06-03 00:00:00 UTC,0.03821584334802772,8605358.422801299,13069501.988937382
2019-06-04 00:00:00 UTC,0.035545489636432545,8012283.926329412,11289821.257894205
2019-06-05 00:00:00 UTC,0.03320733391295322,7396022.019670243,10012411.108663345
2019-06-06 00:00:00 UTC,0.03750389125037091,8364041.219907067,11503888.051805204
2019-06-07 00:00:00 UTC,0.033941310904285114,7559522.439382437,8050566.095469359
2019-06-08 00:00:00 UTC,0.03465937669760242,7757618.169474187,2553177.730823308
2019-06-09 00:00:00 UTC,0.032497701485966896,7273625.705333897,2408275.719852507
2019-06-10 00:00:00 UTC,0.03164941199001471,7085655.952365778,2425617.67798227
2019-06-11 00:00:00 UTC,0.03315943669458348,7405862.870998162,1956509.182161579
2019-06-12 00:00:00 UTC,0.032706037413745316,7269476.6087956745,1953603.270860644
2019-06-13 00:00:00 UTC,0.03449674471449693,7773885.2372035645,1832055.191591512
2019-06-14 00:00:00 UTC,0.03305136873077287,7405078.8767683515,1877775.1906494799
2019-06-15 00:00:00 UTC,0.032709170410179,7304791.487351582,1702489.5727283044
2019-06-16 00:00:00 UTC,0.03329162079928606,7389886.83134477,1838055.8219371436
2019-06-17 00:00:00 UTC,0.03361795732042056,7474003.55707486,1892877.5588074906
2019-06-18 00:00:00 UTC,0.03191946112544775,7143638.034670889,1827121.091827255
2019-06-19 00:00:00 UTC,0.02993698411877321,6698518.282043412,1979887.2660152866
2019-06-20 00:00:00 UTC,0.03188424198083756,7103910.383960956,2111882.742025993
2019-06-21 00:00:00 UTC,0.030967176999075932,6910965.506365945,1903067.7235830142
2019-06-22 00:00:00 UTC,0.0347261806463331,7675604.588128616,2235234.21641586
2019-06-23 00:00:00 UTC,0.035319864901952394,7907299.994466856,2527404.336564608
2019-06-24 00:00:00 UTC,0.03620885184872576,8100623.904635589,2496677.3946746318
2019-06-25 00:00:00 UTC,0.03592503141662006,8000446.535752859,2439043.516962052
2019-06-26 00:00:00 UTC,0.03535867267118353,7852412.105511637,2423570.6242548195
2019-06-27 00:00:00 UTC,0.031913865256536514,7134595.053470509,2037107.790280337
2019-06-28 00:00:00 UTC,0.02594000357836873,6456603.482653394,2124005.518448556
2019-06-29 00:00:00 UTC,0.02506819960812323,6207245.497580937,2497553.909894462
2019-06-30 00:00:00 UTC,0.025755593841019407,6351817.356495729,3318699.546414831
2019-07-01 00:00:00 UTC,0.023862498904825395,5911567.299266648,3833758.7382900985
2019-07-02 00:00:00 UTC,0.026868703295286466,6628891.791827708,4113806.059420097
2019-07-03 00:00:00 UTC,0.02578732130551944,6401666.252080407,3753309.9888592325
2019-07-04 00:00:00 UTC,0.03028841265971592,7491423.731313431,3532449.5326585984
2019-07-05 00:00:00 UTC,0.026637536184908356,6599532.838584357,3194202.7879145043
2019-07-06 00:00:00 UTC,0.026722848973757346,6608711.314413364,3086758.3313734788
2019-07-07 00:00:00 UTC,0.02918926964084991,7233183.4276873665,2606373.7018484017
2019-07-08 00:00:00 UTC,0.03024096631235806,7503390.394202099,1983018.651350868
